order_id,user_id,product_id,quantity,amount,order_time
162,2031,63,2,6502.06,2025-02-27
163,387,81,4,10740.16,2026-05-02
164,1635,113,4,19722.28,2025-02-27
165,4134,12,4,18498.12,2024-05-16
166,1185,84,2,6452.04,2024-10-31
167,1968,98,5,699.4,2025-11-02
168,241,56,5,9695.1,2025-07-03
169,562,49,1,2678.99,2025-03-06
170,2000,180,4,15577.48,2026-04-04
171,4902,139,5,13465.4,2024-03-25
172,1930,27,4,16085.32,2026-05-24
173,4901,190,2,4379.04,2024-10-08
174,2780,137,3,11462.82,2026-01-18
175,1676,82,4,5987.36,2026-03-11
176,2516,36,1,4313.18,2026-05-26
177,1678,174,3,3523.17,2025-10-16
178,4142,118,3,450.24,2026-04-22
179,3747,157,5,14699.85,2026-05-31
180,3357,196,3,11508.0,2026-06-16
181,1652,79,1,565.18,2025-07-05
182,4178,41,5,8534.9,2024-05-25
183,3842,28,3,14824.83,2025-09-01
184,2442,192,3,6526.86,2026-04-19
185,4886,152,1,3228.54,2024-11-24
186,595,101,5,10128.75,2025-12-03
187,2613,144,5,21122.5,2025-10-19
188,4097,22,3,6183.9,2026-01-04
189,1497,47,1,275.47,2024-12-25
190,3556,17,2,7152.7,2025-09-14
191,4862,129,1,1583.71,2024-12-03
192,4767,159,3,14854.35,2025-10-25
193,3359,89,3,13167.6,2026-01-14
194,1602,12,2,9249.06,2025-11-28
195,915,20,2,498.76,2026-02-28
196,1845,147,5,17413.3,2025-10-25
197,1996,5,3,186.45,2026-06-09
198,95,15,5,17467.1,2025-12-28
199,493,25,3,2130.72,2026-01-30
200,3070,163,1,3218.45,2025-01-09
201,150,108,4,11351.32,2024-07-03
202,1047,55,5,8406.15,2025-05-05
203,2804,63,5,16255.15,2026-06-18
204,399,47,5,1377.35,2026-05-19
205,4951,195,4,8148.6,2026-05-23
206,4477,116,4,4480.52,2025-03-27
207,552,64,2,9532.76,2026-01-27
208,295,22,3,6183.9,2024-10-30
209,1144,197,1,4580.12,2025-12-19
210,456,106,5,8268.4,2025-11-22
211,1554,77,2,3685.56,2025-04-15
212,169,74,5,6995.55,2026-05-25
213,4806,80,3,11871.6,2025-04-14
214,1947,127,4,8430.08,2025-01-25
215,254,130,3,14154.27,2024-09-06
216,2377,126,3,5612.31,2026-03-26
217,1321,114,3,11540.13,2024-01-04
218,2884,115,2,9425.54,2026-02-09
219,3608,153,3,607.17,2025-09-06
220,2126,61,3,8466.06,2025-08-07
221,3497,5,3,186.45,2025-07-07
222,2241,28,1,4941.61,2026-05-04
223,401,81,2,5370.08,2026-06-16
224,2157,194,2,749.72,2026-01-09
225,2377,15,1,3493.42,2026-01-16
226,363,183,2,3899.36,2025-10-02
227,3939,120,5,11864.75,2024-08-01
228,3852,38,2,430.68,2026-02-12
229,3413,151,2,9772.02,2026-03-18
230,2307,14,3,8680.26,2026-06-12
231,85,32,1,876.86,2026-03-21
232,1825,44,4,5499.8,2026-03-26
233,3886,198,3,6290.43,2025-11-29
234,308,92,5,18906.65,2026-03-27
235,4358,118,2,300.16,2026-04-15
236,1922,116,3,3360.39,2026-03-19
237,631,123,4,17114.52,2026-04-20
238,4776,116,5,5600.65,2024-05-06
239,4961,186,2,6645.2,2026-01-15
240,2372,102,2,4534.62,2024-09-21
241,3301,4,4,5603.76,2026-03-21
242,3668,115,4,18851.08,2025-09-01
243,727,190,4,8758.08,2024-11-07
244,1649,188,5,20955.7,2025-01-23
245,4313,59,5,9952.75,2024-04-06
246,1270,75,3,13143.6,2026-05-03
247,4544,157,4,11759.88,2025-02-28
248,319,147,2,6965.32,2026-03-17
249,3476,145,1,3604.13,2025-08-05
250,2779,4,2,2801.88,2026-05-03
251,3059,172,4,9863.6,2026-02-10
252,4135,4,2,2801.88,2025-12-07
253,1603,187,3,802.98,2026-01-17
254,2257,140,4,1421.28,2025-08-01
255,830,47,5,1377.35,2024-07-22
256,856,135,1,1657.52,2026-02-27
257,2649,140,4,1421.28,2024-07-10
258,1859,71,2,8280.06,2024-01-22
259,1103,54,2,9961.84,2025-08-07
260,2482,186,4,13290.4,2026-06-27
261,1821,63,5,16255.15,2026-03-30
262,4938,143,5,2377.85,2025-12-26
263,2080,165,4,3238.44,2024-02-10
264,3159,56,2,3878.04,2025-10-27
265,2441,73,2,9894.4,2026-02-20
266,3685,97,5,15947.15,2024-09-11
267,1256,102,2,4534.62,2025-12-11
268,2958,80,1,3957.2,2026-01-23
269,3652,31,1,4688.87,2026-06-10
270,2240,15,1,3493.42,2024-12-08
271,1940,130,1,4718.09,2025-12-29
272,270,13,3,11663.43,2025-06-05
273,4831,5,1,62.15,2025-06-23
274,4065,176,3,9155.91,2025-10-16
275,4980,161,2,6705.72,2025-09-04
276,3776,32,5,4384.3,2025-07-24
277,1113,181,1,1180.24,2024-07-06
278,649,106,1,1653.68,2024-09-14
279,1180,21,1,1962.76,2025-11-17
280,2143,194,3,1124.58,2026-03-28
281,17,189,1,1281.28,2024-07-03
282,117,182,3,518.43,2025-06-22
283,1546,41,1,1706.98,2025-04-13
284,3152,87,5,10982.15,2024-05-30
285,2694,166,1,1073.4,2024-07-25
286,4090,161,3,10058.58,2026-03-19
287,1277,136,5,20911.25,2025-07-29
288,3241,36,2,8626.36,2025-01-10
289,4943,33,2,7204.7,2025-11-27
290,3789,29,5,8822.5,2025-02-23
291,372,95,2,2127.54,2024-02-04
292,2808,57,5,15546.45,2026-06-16
293,156,72,1,3670.16,2026-04-04
294,2662,189,2,2562.56,2025-10-31
295,465,90,4,18578.68,2024-02-14
296,4879,114,4,15386.84,2025-03-24
297,4900,183,5,9748.4,2026-06-26
298,4316,180,4,15577.48,2025-07-22
299,1774,115,5,23563.85,2026-04-07
300,117,171,2,3338.2,2025-10-12
301,2104,126,5,9353.85,2025-02-27
302,1375,124,5,801.95,2026-01-01
303,3204,154,1,3632.82,2026-03-15
304,4404,116,2,2240.26,2026-04-06
305,3547,103,5,21319.25,2026-03-16
306,3978,2,2,8328.16,2026-06-21
307,4318,183,4,7798.72,2026-05-25
308,1197,90,5,23223.35,2024-06-24
309,3412,18,4,7493.8,2025-07-10
310,797,178,1,4513.18,2025-10-01
311,3893,45,1,4562.4,2026-04-28
312,151,15,2,6986.84,2024-02-08
313,3250,135,1,1657.52,2025-09-30
314,112,155,5,22660.35,2026-04-06
315,683,40,2,586.36,2025-03-20
316,1162,17,4,14305.4,2026-05-15
317,2380,160,3,1496.34,2025-10-25
318,4989,144,1,4224.5,2026-05-15
319,161,191,5,16781.35,2025-02-28
320,1426,78,4,14735.68,2026-01-07
321,3662,188,3,12573.42,2026-02-06
322,278,105,2,2952.68,2025-08-27
323,3392,82,5,7484.2,2025-02-15
324,1557,86,3,601.41,2026-05-09
325,4593,180,5,19471.85,2026-02-15
326,1916,80,4,15828.8,2024-09-29
327,4751,49,4,10715.96,2025-12-07
328,3108,49,1,2678.99,2024-08-18
329,303,154,4,14531.28,2024-03-05
330,4534,179,2,9163.18,2024-03-11
331,2774,43,2,5370.24,2025-10-06
332,4282,70,5,17579.65,2025-02-04
333,3246,71,2,8280.06,2026-05-15
334,4769,9,4,18914.76,2025-07-04
335,1001,172,3,7397.7,2026-04-15
336,3835,192,2,4351.24,2024-08-13
337,4007,90,4,18578.68,2026-02-18
338,4779,2,4,16656.32,2025-07-10
339,1719,164,5,15288.7,2025-06-24
340,3831,3,5,633.2,2024-07-16
341,3182,182,2,345.62,2026-01-17
342,2883,149,2,5589.68,2025-03-29
343,999,195,4,8148.6,2024-01-02
344,285,9,2,9457.38,2024-10-13
345,421,12,3,13873.59,2026-06-12
346,2161,200,1,3528.0,2025-07-25
347,3066,165,1,809.61,2025-12-25
348,2276,165,4,3238.44,2025-05-14
349,1495,104,1,3889.49,2025-06-30
350,3885,195,4,8148.6,2025-11-23
351,4624,56,4,7756.08,2025-12-26
352,2544,105,3,4429.02,2025-09-30
353,4127,63,5,16255.15,2024-06-18
354,4258,154,2,7265.64,2025-07-07
355,1842,46,3,5618.7,2025-03-30
356,4801,181,5,5901.2,2024-08-30
357,722,60,4,18117.6,2026-05-01
358,1402,32,3,2630.58,2025-01-09
359,446,91,4,10670.36,2026-05-02
360,2792,190,1,2189.52,2026-03-29
361,4523,175,4,7914.6,2025-03-09
362,3768,61,1,2822.02,2026-05-28
363,2552,94,4,14972.44,2025-12-20
364,1968,132,4,13321.92,2025-12-08
365,3889,130,5,23590.45,2025-12-14
366,4817,151,4,19544.04,2025-01-16
367,2732,55,4,6724.92,2024-04-11
368,2630,41,4,6827.92,2025-08-13
369,1965,196,2,7672.0,2025-11-11
370,1058,165,2,1619.22,2025-10-15
371,4832,139,3,8079.24,2024-12-03
372,758,164,5,15288.7,2026-04-25
373,1796,15,2,6986.84,2024-06-06
374,1644,101,3,6077.25,2025-12-27
375,4850,67,3,5084.79,2026-02-08
376,24,112,3,10369.38,2026-04-15
377,1240,158,5,16864.75,2024-06-26
378,4151,57,1,3109.29,2025-01-06
379,3098,190,5,10947.6,2025-10-22
380,1305,33,3,10807.05,2024-11-02
381,2543,65,4,15932.12,2025-07-06
382,3713,1,3,7117.11,2025-12-15
383,3956,131,4,3756.76,2026-04-16
384,4530,9,5,23643.45,2026-05-07
385,4304,32,1,876.86,2024-10-15
386,4229,77,2,3685.56,2025-05-11
387,1306,45,2,9124.8,2025-08-03
388,4465,95,1,1063.77,2026-01-25
389,3175,185,4,14265.68,2025-08-18
390,3629,21,4,7851.04,2026-05-03
391,782,23,1,875.85,2026-01-15
392,567,154,1,3632.82,2025-04-16
393,4623,117,3,11606.55,2025-03-09
394,4133,200,5,17640.0,2024-01-26
395,4274,104,3,11668.47,2025-06-11
396,639,30,3,9050.79,2026-01-07
397,3701,115,5,23563.85,2025-03-30
398,4168,69,2,3213.72,2025-11-14
399,2400,152,5,16142.7,2025-01-14
400,2671,74,2,2798.22,2024-10-14
401,1173,64,5,23831.9,2024-02-17
402,1721,163,2,6436.9,2026-03-20
403,105,150,4,12084.32,2025-01-06
404,1683,39,4,2003.48,2025-09-16
405,4317,55,5,8406.15,2025-06-07
406,1850,7,1,3655.16,2026-06-18
407,863,190,4,8758.08,2025-05-01
408,3446,39,5,2504.35,2026-03-24
409,2566,148,5,23524.95,2025-09-24
410,299,104,4,15557.96,2026-05-20
411,2909,184,5,3753.35,2024-10-28
412,4138,96,1,1886.77,2026-04-23
413,771,194,2,749.72,2025-09-15
414,2540,143,5,2377.85,2025-04-10
415,1463,149,4,11179.36,2025-12-14
416,3855,34,1,3787.14,2026-02-13
417,3119,35,1,490.43,2025-04-03
418,2133,115,5,23563.85,2026-04-09
419,1710,5,3,186.45,2025-02-21
420,991,56,4,7756.08,2024-06-19
421,711,83,1,3296.1,2025-11-26
422,4305,7,4,14620.64,2024-12-08
423,39,53,5,20524.3,2026-02-14
424,1276,172,5,12329.5,2026-01-29
425,4858,186,3,9967.8,2025-05-22
426,1437,106,3,4961.04,2026-04-10
427,2994,42,5,12854.9,2024-05-17
428,1470,18,2,3746.9,2024-09-24
429,2100,6,2,4215.54,2024-05-11
430,374,132,1,3330.48,2025-03-12
431,4252,197,3,13740.36,2025-11-04
432,4026,142,1,2454.81,2025-08-16
433,1114,169,4,5450.6,2025-06-06
434,2727,175,5,9893.25,2025-10-26
435,2399,97,5,15947.15,2025-07-24
436,3235,53,2,8209.72,2025-04-26
437,1266,21,1,1962.76,2025-01-16
438,3124,141,1,1083.29,2026-06-07
439,654,194,4,1499.44,2025-05-24
440,4159,143,1,475.57,2025-06-28
441,509,99,4,14504.72,2025-03-13
442,2340,173,1,4708.64,2024-10-12
443,3163,84,3,9678.06,2025-12-26
444,1688,193,5,11171.85,2025-01-29
445,1389,174,4,4697.56,2025-05-13
446,2198,131,5,4695.95,2024-02-23
447,3912,145,5,18020.65,2025-12-26
448,2929,145,1,3604.13,2025-12-17
449,4800,20,1,249.38,2024-11-11
450,516,4,4,5603.76,2025-09-26
451,3659,75,2,8762.4,2026-01-11
452,1834,15,2,6986.84,2025-08-21
453,30,57,5,15546.45,2026-06-13
454,3215,173,2,9417.28,2025-11-11
455,326,27,3,12063.99,2025-05-06
456,3767,20,1,249.38,2026-03-29
457,4112,108,5,14189.15,2026-06-03
458,111,79,1,565.18,2026-06-12
459,107,134,2,2596.74,2025-02-13
460,2427,18,3,5620.35,2025-03-10
461,4379,86,3,601.41,2026-05-08
462,4365,49,4,10715.96,2024-11-10
463,2532,152,5,16142.7,2025-01-06
464,3145,11,3,3931.2,2024-07-05
465,4694,146,5,23604.95,2026-02-17
466,799,35,5,2452.15,2026-04-11
467,2438,55,5,8406.15,2026-05-25
468,2012,95,1,1063.77,2024-12-29
469,426,28,5,24708.05,2026-01-13
470,3045,88,2,5738.16,2024-04-20
471,3289,164,3,9173.22,2025-12-12
472,2915,109,1,853.04,2026-06-01
473,1240,24,3,492.81,2024-08-05
474,3392,161,2,6705.72,2025-05-07
475,4214,116,1,1120.13,2025-07-10
476,3998,165,4,3238.44,2025-04-29
477,3007,141,2,2166.58,2025-12-24
478,3040,16,4,18501.48,2025-02-14
479,599,112,3,10369.38,2025-09-22
480,2088,171,2,3338.2,2025-01-11
481,1185,73,4,19788.8,2025-09-29
482,2751,50,4,8282.8,2024-03-01
483,2585,111,1,4504.92,2025-11-18
484,4760,13,1,3887.81,2026-03-25
485,3514,71,3,12420.09,2026-06-23
486,4746,163,2,6436.9,2025-05-28
487,4055,35,4,1961.72,2025-06-14
488,4384,24,2,328.54,2024-12-12
489,3937,181,5,5901.2,2026-01-07
490,1700,39,3,1502.61,2026-01-15
491,4508,147,3,10447.98,2024-02-13
492,2576,172,1,2465.9,2026-06-11
493,136,126,4,7483.08,2024-06-24
494,2026,174,2,2348.78,2025-05-31
495,3536,173,4,18834.56,2025-12-27
496,4855,160,3,1496.34,2025-03-01
497,2891,5,4,248.6,2026-01-30
498,2758,76,3,11534.34,2026-02-12
499,3774,104,5,19447.45,2024-05-28
500,381,134,4,5193.48,2025-03-20
501,1529,82,3,4490.52,2025-11-09
502,4902,7,4,14620.64,2025-03-17
503,4572,15,4,13973.68,2025-11-26
504,3629,73,2,9894.4,2026-06-01
505,849,20,4,997.52,2025-05-28
506,4993,59,4,7962.2,2025-08-27
507,4128,4,4,5603.76,2024-06-09
508,1928,106,3,4961.04,2025-08-11
509,2166,40,3,879.54,2026-06-15
510,4287,65,4,15932.12,2024-12-29
511,2122,35,5,2452.15,2026-02-09
512,4719,44,4,5499.8,2026-01-31
513,2919,7,4,14620.64,2025-12-08
514,4682,150,3,9063.24,2025-04-17
515,473,23,1,875.85,2026-04-10
516,1788,65,1,3983.03,2026-01-13
517,114,88,4,11476.32,2026-03-06
518,1337,20,5,1246.9,2024-10-22
519,339,32,2,1753.72,2026-03-31
520,2286,97,3,9568.29,2024-06-12
521,1197,164,2,6115.48,2024-06-12
522,79,146,2,9441.98,2025-07-18
523,4560,97,5,15947.15,2026-02-14
524,2653,161,5,16764.3,2026-03-24
525,4658,69,1,1606.86,2025-06-28
526,4381,82,3,4490.52,2026-04-26
527,4319,9,1,4728.69,2025-08-11
528,2641,42,5,12854.9,2025-03-26
529,1257,199,5,10733.75,2025-07-06
530,828,127,3,6322.56,2025-05-26
531,2719,110,3,4752.45,2024-09-30
532,4924,132,4,13321.92,2025-09-22
533,2811,174,4,4697.56,2025-11-21
534,3386,72,2,7340.32,2026-05-12
535,1966,152,3,9685.62,2026-06-05
536,2428,72,3,11010.48,2026-03-09
537,2842,124,1,160.39,2026-05-09
538,614,197,1,4580.12,2025-11-23
539,563,23,4,3503.4,2026-03-31
540,4827,107,2,6820.9,2024-08-06
541,4353,183,5,9748.4,2025-07-12
542,185,98,4,559.52,2026-01-12
543,2193,143,1,475.57,2026-03-16
544,4066,51,5,7027.6,2025-01-11
545,246,123,2,8557.26,2025-08-23
546,4087,50,1,2070.7,2024-01-18
547,2235,175,4,7914.6,2024-03-09
548,866,83,4,13184.4,2025-03-04
549,2088,25,2,1420.48,2026-05-22
550,601,39,4,2003.48,2024-02-06
551,3034,68,2,4758.4,2025-04-13
552,2057,174,3,3523.17,2025-09-15
553,2132,72,1,3670.16,2026-03-14
554,533,119,3,10110.78,2025-10-31
555,2043,106,3,4961.04,2026-01-10
556,358,13,4,15551.24,2025-01-06
557,378,166,5,5367.0,2024-02-27
558,2220,36,4,17252.72,2025-11-07
559,4489,165,1,809.61,2026-06-16
560,4798,170,4,16737.88,2026-02-10
561,3308,120,1,2372.95,2025-12-24
562,2597,109,5,4265.2,2024-04-05
563,784,124,5,801.95,2026-03-21
564,2380,19,5,17897.45,2025-09-04
565,3604,37,1,4074.87,2025-08-09
566,983,101,5,10128.75,2026-06-13
567,3943,193,3,6703.11,2026-02-25
568,2591,85,4,4347.84,2025-08-29
569,1043,39,4,2003.48,2024-07-05
570,2539,154,1,3632.82,2026-03-29
571,862,42,2,5141.96,2025-04-20
572,1877,190,2,4379.04,2026-04-28
573,1836,53,4,16419.44,2025-03-17
574,4209,195,2,4074.3,2025-01-12
575,3527,50,2,4141.4,2026-04-16
576,1686,105,2,2952.68,2024-11-05
577,3402,197,1,4580.12,2026-06-23
578,1623,107,3,10231.35,2024-02-10
579,4958,157,5,14699.85,2025-10-18
580,2658,130,1,4718.09,2025-09-01
581,1933,18,3,5620.35,2025-06-11
582,508,60,5,22647.0,2024-12-03
583,4562,116,5,5600.65,2025-11-08
584,3479,142,1,2454.81,2026-02-04
585,2657,118,4,600.32,2025-10-09
586,1122,168,1,684.74,2024-06-16
587,290,192,5,10878.1,2025-09-10
588,2830,30,2,6033.86,2025-10-06
589,2210,29,2,3529.0,2025-10-01
590,4813,157,4,11759.88,2024-02-18
591,1401,19,1,3579.49,2024-02-18
592,567,90,5,23223.35,2024-01-15
593,1474,110,2,3168.3,2025-12-20
594,1988,58,3,10818.87,2026-06-11
595,3788,116,2,2240.26,2025-05-24
596,3866,40,4,1172.72,2026-04-01
597,3261,9,1,4728.69,2026-02-03
598,3548,121,1,1766.46,2024-07-31
599,3252,110,2,3168.3,2025-08-19
600,1717,108,3,8513.49,2026-02-17
601,1013,159,1,4951.45,2026-05-16
602,1311,78,1,3683.92,2024-09-27
603,4571,95,5,5318.85,2025-12-27
604,618,143,4,1902.28,2025-08-27
605,4737,34,5,18935.7,2025-10-13
606,4258,62,4,9117.72,2026-06-03
607,1983,74,1,1399.11,2024-12-28
608,2229,57,3,9327.87,2026-06-11
609,4821,149,3,8384.52,2025-02-04
610,469,103,1,4263.85,2025-05-22
611,4117,54,4,19923.68,2025-01-04
612,4356,165,5,4048.05,2024-01-11
613,1140,168,5,3423.7,2025-11-16
614,1437,20,5,1246.9,2025-01-08
615,537,109,4,3412.16,2026-04-21
616,952,199,1,2146.75,2025-11-27
617,2814,146,3,14162.97,2024-06-22
618,3007,172,5,12329.5,2026-02-20
619,3995,184,4,3002.68,2024-10-10
620,1841,17,4,14305.4,2024-08-23
621,851,42,5,12854.9,2026-05-07
622,1972,199,1,2146.75,2026-04-10
623,1192,156,3,11964.36,2024-07-19
624,3921,21,3,5888.28,2024-11-28
625,4629,165,4,3238.44,2025-04-12
626,2063,151,1,4886.01,2025-11-07
627,3047,111,2,9009.84,2026-02-02
628,4400,48,3,4608.36,2025-02-14
629,3559,59,2,3981.1,2026-06-25
630,4512,128,4,16674.4,2025-06-26
631,305,112,3,10369.38,2026-04-24
632,4909,52,1,700.05,2025-03-31
633,2848,17,2,7152.7,2024-02-25
634,2436,38,5,1076.7,2024-09-06
635,2805,129,2,3167.42,2026-02-11
636,1985,75,4,17524.8,2025-08-24
637,3937,161,4,13411.44,2026-02-06
638,713,95,4,4255.08,2026-03-25
639,2896,44,1,1374.95,2026-06-27
640,1682,88,1,2869.08,2025-09-26
641,1334,20,4,997.52,2025-08-19
642,3199,175,3,5935.95,2025-05-20
643,175,69,5,8034.3,2025-08-22
644,3206,170,1,4184.47,2025-09-01
645,1417,154,3,10898.46,2025-06-10
646,1988,49,2,5357.98,2025-12-17
647,4854,106,2,3307.36,2025-02-05
648,1773,71,3,12420.09,2024-12-31
649,4267,18,5,9367.25,2026-06-27
650,1075,102,2,4534.62,2025-11-26
651,4761,95,3,3191.31,2025-05-16
652,592,9,3,14186.07,2025-11-08
653,2979,66,4,992.24,2026-04-15
654,3983,60,3,13588.2,2025-12-30
655,2411,108,5,14189.15,2025-09-16
656,848,37,4,16299.48,2025-08-12
657,494,175,5,9893.25,2025-07-05
658,546,29,5,8822.5,2025-09-28
659,5000,63,4,13004.12,2026-03-23
660,2287,15,4,13973.68,2024-05-21
661,2698,9,2,9457.38,2025-04-20
662,3838,80,2,7914.4,2026-05-19
663,1541,66,4,992.24,2025-09-14
664,884,1,5,11861.85,2026-06-11
665,3957,121,1,1766.46,2024-09-09
666,3095,9,3,14186.07,2025-06-22
667,2366,57,4,12437.16,2025-11-09
668,3348,184,3,2252.01,2024-06-22
669,3072,148,2,9409.98,2025-06-07
670,3676,121,3,5299.38,2025-06-19
671,4716,2,2,8328.16,2026-05-08
672,953,1,4,9489.48,2026-04-08
673,3301,74,2,2798.22,2024-11-07
