product_id,product_name,category,price
78,图书商品78,图书,3683.92
79,电脑商品79,电脑,565.18
80,电脑商品80,电脑,3957.2
81,美妆商品81,美妆,2685.04
82,美妆商品82,美妆,1496.84
83,食品商品83,食品,3296.1
84,服装商品84,服装,3226.02
85,电脑商品85,电脑,1086.96
86,美妆商品86,美妆,200.47
87,食品商品87,食品,2196.43
88,手机商品88,手机,2869.08
89,美妆商品89,美妆,4389.2
90,家电商品90,家电,4644.67
91,家电商品91,家电,2667.59
92,手机商品92,手机,3781.33
93,图书商品93,图书,2224.55
94,服装商品94,服装,3743.11
95,图书商品95,图书,1063.77
96,电脑商品96,电脑,1886.77
97,图书商品97,图书,3189.43
98,电脑商品98,电脑,139.88
99,美妆商品99,美妆,3626.18
100,家电商品100,家电,4185.9
101,服装商品101,服装,2025.75
102,服装商品102,服装,2267.31
103,服装商品103,服装,4263.85
104,美妆商品104,美妆,3889.49
105,电脑商品105,电脑,1476.34
106,服装商品106,服装,1653.68
107,美妆商品107,美妆,3410.45
108,美妆商品108,美妆,2837.83
109,手机商品109,手机,853.04
110,运动商品110,运动,1584.15
111,图书商品111,图书,4504.92
112,服装商品112,服装,3456.46
113,运动商品113,运动,4930.57
114,电脑商品114,电脑,3846.71
115,美妆商品115,美妆,4712.77
116,食品商品116,食品,1120.13
117,图书商品117,图书,3868.85
118,图书商品118,图书,150.08
119,服装商品119,服装,3370.26
120,食品商品120,食品,2372.95
121,家电商品121,家电,1766.46
122,电脑商品122,电脑,4318.9
123,手机商品123,手机,4278.63
124,手机商品124,手机,160.39
125,运动商品125,运动,3067.05
126,美妆商品126,美妆,1870.77
127,运动商品127,运动,2107.52
128,家电商品128,家电,4168.6
129,家电商品129,家电,1583.71
130,图书商品130,图书,4718.09
131,手机商品131,手机,939.19
132,食品商品132,食品,3330.48
133,服装商品133,服装,3376.92
134,手机商品134,手机,1298.37
135,手机商品135,手机,1657.52
136,食品商品136,食品,4182.25
137,图书商品137,图书,3820.94
138,图书商品138,图书,1679.02
139,食品商品139,食品,2693.08
140,家电商品140,家电,355.32
141,食品商品141,食品,1083.29
142,运动商品142,运动,2454.81
143,家电商品143,家电,475.57
144,食品商品144,食品,4224.5
145,美妆商品145,美妆,3604.13
146,家电商品146,家电,4720.99
147,家电商品147,家电,3482.66
148,手机商品148,手机,4704.99
149,服装商品149,服装,2794.84
150,手机商品150,手机,3021.08
151,电脑商品151,电脑,4886.01
152,家电商品152,家电,3228.54
153,食品商品153,食品,202.39
154,食品商品154,食品,3632.82
155,食品商品155,食品,4532.07
156,家电商品156,家电,3988.12
157,食品商品157,食品,2939.97
158,电脑商品158,电脑,3372.95
159,家电商品159,家电,4951.45
160,食品商品160,食品,498.78
161,家电商品161,家电,3352.86
162,美妆商品162,美妆,1452.82
163,家电商品163,家电,3218.45
164,电脑商品164,电脑,3057.74
165,手机商品165,手机,809.61
166,家电商品166,家电,1073.4
167,服装商品167,服装,3127.07
168,电脑商品168,电脑,684.74
169,运动商品169,运动,1362.65
170,美妆商品170,美妆,4184.47
171,电脑商品171,电脑,1669.1
172,手机商品172,手机,2465.9
173,食品商品173,食品,4708.64
174,食品商品174,食品,1174.39
175,电脑商品175,电脑,1978.65
176,运动商品176,运动,3051.97
177,食品商品177,食品,3788.93
178,美妆商品178,美妆,4513.18
179,服装商品179,服装,4581.59
180,运动商品180,运动,3894.37
181,图书商品181,图书,1180.24
182,图书商品182,图书,172.81
183,电脑商品183,电脑,1949.68
184,运动商品184,运动,750.67
185,食品商品185,食品,3566.42
186,食品商品186,食品,3322.6
187,电脑商品187,电脑,267.66
188,食品商品188,食品,4191.14
189,食品商品189,食品,1281.28
190,服装商品190,服装,2189.52
191,服装商品191,服装,3356.27
192,手机商品192,手机,2175.62
193,服装商品193,服装,2234.37
194,家电商品194,家电,374.86
195,运动商品195,运动,2037.15
196,运动商品196,运动,3836.0
197,电脑商品197,电脑,4580.12
198,服装商品198,服装,2096.81
199,手机商品199,手机,2146.75
200,食品商品200,食品,3528.0
